#YAESU 991a cmd prefixes
#Todo - create radio specific cmd prefix file. 
#Args can be freeform. Maybe add regex error checking at some point?
AB  VFO-A TO VFO-BO
AC  ANTENNA TUNER CONTROL
AG  AF GAIN
AI  AUTO INFORMATION
AM  VFO-A TO MEMORY CHANNEL
BA  VFO-B TO VFO-A
BC  AUTO NOTCH
BD  BAND DOWN
BI  BREAK-IN
BP  MANUAL NOTCH
BS  BAND SELECT
BU  BAND UP
BY  BUSY
CH  CHANNEL UP/DOWN
CN  CTCSS/DCS NUMBER
CO  CONTOUR
CS  CW SPOT
CT  CTCSS
DA  DIMMER
DN  DOWN
DT  DATE AND TIME
ED ENCORDER DOWN
EK  ENT KEY
EU  ENCORDER UP
EX  MENU
FA  FREQUENCY VFO-A
FB  FREQUENCY VFO-B
FS  FAST STEP
FT  FUNCTION TX
GT  AGC FUNCTION
ID  IDENTIFICATION
IF  INFORMATION
IS  IF-SHIFT
KM  KEYER MEMORY
KP  KEY PITCH
KR  KEYER
KS  KEY SPEED
KY  CW KEYING
LK  LOCK
LM  LOAD MESSEGE
MA  MEMORY CHANNEL TO VFO-A
MC  MEMORY CHANNEL
MD  MODE
MG  MIC GAIN
ML  MONITOR LEVEL
MR  MEMORY READ
MS  METER SW
MT  MEMORY CHANNEL WRITE/TAG
MW  MEMORY WRITE
MX  MOX SET
NA  NARROW
NB  NOISE BLANKER
NL  NOISE BLANKER LEVEL
NR  NOISE REDUCTION
OI  OPPOSITE BAND NFORMATIONX
SO  FFSET (Repeater Shift)
PA  PRE-AMP (IPO)
PB  PLAY BACK
PC  POWER CONTROL
PL  SPEECH PROCESSOR LEVEL
PR  SPEECH PROCESSOR
PS  POWER SWITCH
QI  QMB STORE
QR  QMB RECALL
QS  QUICK SPLIT
RA  RF ATTENUATOR
RC  CLAR CLEAR
RD  CLAR DOWN
RG  RF GAIN
RI  RADIO INFORMATION
RL  NOISE REDUCTION LEVEL
RM  READ METER
RS  RADIO STATUS
RT  CLAR
RU  CLAR UP
SC  SCAN
SD  SEMI BREAK-IN DELAY TIME
SH  WIDTH
SM  S METER
SQ  SQUELCH LEVEL
SV  SWAP VFO
TS  TXW
TX  TX SET
UL  UNLOCK
UP  UP
VD  VOX DELAY TIME
VG  VOX GAIN
VM  [V/M] KEY FUNCTION
VX  VOX
XT  TX CLAR
ZI  ZERO IN
